"parent_resource"	"dependency"	"dependency_mult"
"3028fea6-7f8e-11e3-bc66-f07bcb4eb64e"	"304a49c6-7f8e-11e3-bc66-f07bcb4eb64e"	2
"3028fea6-7f8e-11e3-bc66-f07bcb4eb64e"	"304abf46-7f8e-11e3-bc66-f07bcb4eb64e"	1
"302fd690-7f8e-11e3-bc66-f07bcb4eb64e"	"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	1
"302fd690-7f8e-11e3-bc66-f07bcb4eb64e"	"304abf46-7f8e-11e3-bc66-f07bcb4eb64e"	2
"3030a098-7f8e-11e3-bc66-f07bcb4eb64e"	"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	1
"3030a098-7f8e-11e3-bc66-f07bcb4eb64e"	"304e8284-7f8e-11e3-bc66-f07bcb4eb64e"	1
"3030ccc6-7f8e-11e3-bc66-f07bcb4eb64e"	"303a3900-7f8e-11e3-bc66-f07bcb4eb64e"	0.9
"3030ccc6-7f8e-11e3-bc66-f07bcb4eb64e"	"302fd690-7f8e-11e3-bc66-f07bcb4eb64e"	0.1
"30345a12-7f8e-11e3-bc66-f07bcb4eb64e"	"304f5862-7f8e-11e3-bc66-f07bcb4eb64e"	2
"30345a12-7f8e-11e3-bc66-f07bcb4eb64e"	"304c4096-7f8e-11e3-bc66-f07bcb4eb64e"	14
"30345a12-7f8e-11e3-bc66-f07bcb4eb64e"	"304a8954-7f8e-11e3-bc66-f07bcb4eb64e"	1
"303a3900-7f8e-11e3-bc66-f07bcb4eb64e"	"304e488c-7f8e-11e3-bc66-f07bcb4eb64e"	2
"303a3900-7f8e-11e3-bc66-f07bcb4eb64e"	"304abf46-7f8e-11e3-bc66-f07bcb4eb64e"	3
"303bad94-7f8e-11e3-bc66-f07bcb4eb64e"	"304a9c14-7f8e-11e3-bc66-f07bcb4eb64e"	8
"303bad94-7f8e-11e3-bc66-f07bcb4eb64e"	"304a49c6-7f8e-11e3-bc66-f07bcb4eb64e"	8
"303bad94-7f8e-11e3-bc66-f07bcb4eb64e"	"304b411e-7f8e-11e3-bc66-f07bcb4eb64e"	1
"303bad94-7f8e-11e3-bc66-f07bcb4eb64e"	"304abf46-7f8e-11e3-bc66-f07bcb4eb64e"	3
"303eec3e-7f8e-11e3-bc66-f07bcb4eb64e"	"304a9c14-7f8e-11e3-bc66-f07bcb4eb64e"	6
"303eec3e-7f8e-11e3-bc66-f07bcb4eb64e"	"304a49c6-7f8e-11e3-bc66-f07bcb4eb64e"	6
"303eec3e-7f8e-11e3-bc66-f07bcb4eb64e"	"304abf46-7f8e-11e3-bc66-f07bcb4eb64e"	2
"303eec3e-7f8e-11e3-bc66-f07bcb4eb64e"	"304b411e-7f8e-11e3-bc66-f07bcb4eb64e"	1
"303efd78-7f8e-11e3-bc66-f07bcb4eb64e"	"303eec3e-7f8e-11e3-bc66-f07bcb4eb64e"	1
"303efd78-7f8e-11e3-bc66-f07bcb4eb64e"	"303bad94-7f8e-11e3-bc66-f07bcb4eb64e"	1
