nep.pk	nep.name
13609210	Aluminum Extrusion
8428816	Cast Aluminum
4050355	Carpet Tile
2696477	Fiber Cement Panels
15657231	Ceramic Fitting
9238751	Ceramic Sanitary Product
5208399	Ceramic Tile
4162208	Clay Tile
6937020	DN100 Vitrified Pipe
1892849	DN150 Vitrified Pipe
8357084	DN200 Vitrified Pipe
15923026	DN300 Vitrified Pipe
15376772	DN500 Vitrified Pipe
7285275	Cotton Fabric
2820901	Cotton Padding
13657588	Loose Woodwool
16825048	Recycled Wool
14674534	Woodwool Board
14549468	Mineral Fiber Tile
7347536	Monocrystalline Photovoltaic Module
7777401	Paper Board
5047397	Expanded Polystyrene
8677119	General-Purpose Polystyrene
4793869	HDPE Pipe
14210457	HDPE Resin
16068335	High-Impact Polystyrene
5899014	Injection-molded Polypropylene
8841044	LDPE Film
15072194	LDPE Resin
3864477	Orientated Polypropylene Film
17255893	Polyurethane Flexible Foam
1541465	Polyurethane Rigid Foam
5075913	PVC Calendered Sheet
876566	PVC Pipe
4470251	Thermoformed Polystyrene
5328146	UPVC Film
9269180	Polycrystalline Photovoltaic Module
15849848	Epoxide Resin
14609745	Melamine Resin
7347536	Monocrystalline Photovoltaic Module
14246682	Steel Bar
16709188	Marble Tile
10402902	Terazzo Tile
17156036	Thin Film Silicon Photovoltaic Module
8593733	Coated Tin Plate
15149231	Calcium Silicate Sheet
